,0
0,"tensor(5.8773, dtype=torch.float64)"
1,"tensor(356.1972, dtype=torch.float64)"
2,"tensor(94.4049, dtype=torch.float64)"
3,"tensor(58.6996, dtype=torch.float64)"
4,"tensor(16.2080, dtype=torch.float64)"
5,"tensor(87.7581, dtype=torch.float64)"
6,"tensor(234.2562, dtype=torch.float64)"
7,"tensor(59.2834, dtype=torch.float64)"
8,"tensor(61.6870, dtype=torch.float64)"
9,"tensor(101.2517, dtype=torch.float64)"
10,"tensor(70.4371, dtype=torch.float64)"
11,"tensor(53.1080, dtype=torch.float64)"
12,"tensor(548.9990, dtype=torch.float64)"
13,"tensor(103.8112, dtype=torch.float64)"
14,"tensor(35.9455, dtype=torch.float64)"
15,"tensor(124.8588, dtype=torch.float64)"
16,"tensor(190.4865, dtype=torch.float64)"
17,"tensor(98.5421, dtype=torch.float64)"
18,"tensor(162.8125, dtype=torch.float64)"
19,"tensor(5.8504, dtype=torch.float64)"
20,"tensor(157.0438, dtype=torch.float64)"
21,"tensor(144.3047, dtype=torch.float64)"
22,"tensor(110.0544, dtype=torch.float64)"
23,"tensor(476.7461, dtype=torch.float64)"
24,"tensor(79.4723, dtype=torch.float64)"
25,"tensor(227.2712, dtype=torch.float64)"
26,"tensor(316.5461, dtype=torch.float64)"
27,"tensor(39.9951, dtype=torch.float64)"
28,"tensor(35.8158, dtype=torch.float64)"
29,"tensor(119.1965, dtype=torch.float64)"
30,"tensor(145.4194, dtype=torch.float64)"
31,"tensor(117.5295, dtype=torch.float64)"
32,"tensor(96.8561, dtype=torch.float64)"
33,"tensor(76.5155, dtype=torch.float64)"
34,"tensor(121.8139, dtype=torch.float64)"
35,"tensor(14.9442, dtype=torch.float64)"
36,"tensor(107.0695, dtype=torch.float64)"
37,"tensor(8.2777, dtype=torch.float64)"
38,"tensor(51.1101, dtype=torch.float64)"
39,"tensor(221.6116, dtype=torch.float64)"
40,"tensor(161.8799, dtype=torch.float64)"
41,"tensor(140.7051, dtype=torch.float64)"
42,"tensor(153.6909, dtype=torch.float64)"
43,"tensor(628.1736, dtype=torch.float64)"
44,"tensor(243.6830, dtype=torch.float64)"
45,"tensor(120.2975, dtype=torch.float64)"
46,"tensor(210.1254, dtype=torch.float64)"
47,"tensor(5., dtype=torch.float64)"
48,"tensor(301.8122, dtype=torch.float64)"
49,"tensor(60.1637, dtype=torch.float64)"
50,"tensor(120.8450, dtype=torch.float64)"
51,"tensor(6.7751, dtype=torch.float64)"
52,"tensor(127.9270, dtype=torch.float64)"
53,"tensor(121.2421, dtype=torch.float64)"
54,"tensor(5.7327, dtype=torch.float64)"
55,"tensor(104.6011, dtype=torch.float64)"
56,"tensor(167.1022, dtype=torch.float64)"
57,"tensor(75.0837, dtype=torch.float64)"
58,"tensor(8.5125, dtype=torch.float64)"
59,"tensor(143.4709, dtype=torch.float64)"
60,"tensor(78.1773, dtype=torch.float64)"
61,"tensor(132.1540, dtype=torch.float64)"
62,"tensor(7.4051, dtype=torch.float64)"
63,"tensor(61.5202, dtype=torch.float64)"
64,"tensor(121.2258, dtype=torch.float64)"
65,"tensor(31.9186, dtype=torch.float64)"
66,"tensor(88.2671, dtype=torch.float64)"
67,"tensor(113.0020, dtype=torch.float64)"
68,"tensor(128.0877, dtype=torch.float64)"
69,"tensor(107.8535, dtype=torch.float64)"
70,"tensor(102.1340, dtype=torch.float64)"
71,"tensor(71.7801, dtype=torch.float64)"
72,"tensor(592.1811, dtype=torch.float64)"
73,"tensor(99.5011, dtype=torch.float64)"
74,"tensor(102.3578, dtype=torch.float64)"
75,"tensor(83.9100, dtype=torch.float64)"
76,"tensor(62.5548, dtype=torch.float64)"
77,"tensor(38.9434, dtype=torch.float64)"
78,"tensor(41.7998, dtype=torch.float64)"
79,"tensor(170.9431, dtype=torch.float64)"
80,"tensor(93.3871, dtype=torch.float64)"
81,"tensor(37.1997, dtype=torch.float64)"
82,"tensor(59.2433, dtype=torch.float64)"
83,"tensor(300.7640, dtype=torch.float64)"
84,"tensor(64.9308, dtype=torch.float64)"
85,"tensor(23.5124, dtype=torch.float64)"
86,"tensor(511.4791, dtype=torch.float64)"
87,"tensor(24.3137, dtype=torch.float64)"
88,"tensor(111.5994, dtype=torch.float64)"
89,"tensor(78.5723, dtype=torch.float64)"
90,"tensor(72.1506, dtype=torch.float64)"
91,"tensor(88.3423, dtype=torch.float64)"
92,"tensor(108.9138, dtype=torch.float64)"
93,"tensor(187.6792, dtype=torch.float64)"
94,"tensor(6.6835, dtype=torch.float64)"
95,"tensor(131.6743, dtype=torch.float64)"
96,"tensor(39.5854, dtype=torch.float64)"
