,0
0,5.877311515345159
1,356.19717451473423
2,94.40493381477476
3,94.40493381477476
4,94.40493381477476
5,94.40493381477476
6,94.40493381477476
7,94.40493381477476
8,94.40493381477476
9,94.40493381477476
10,94.40493381477476
11,94.40493381477476
12,94.40493381477476
13,94.40493381477476
14,94.40493381477476
15,94.40493381477476
16,94.40493381477476
17,94.40493381477476
18,94.40493381477476
19,94.40493381477476
20,94.40493381477476
21,94.40493381477476
22,110.05441624908082
23,110.05441624908082
24,110.05441624908082
25,110.05441624908082
26,110.05441624908082
27,110.05441624908082
28,110.05441624908082
29,110.05441624908082
30,110.05441624908082
31,110.05441624908082
32,110.05441624908082
33,110.05441624908082
34,110.05441624908082
35,110.05441624908082
36,110.05441624908082
37,110.05441624908082
38,110.05441624908082
39,110.05441624908082
40,110.05441624908082
41,110.05441624908082
42,110.05441624908082
43,110.05441624908082
44,110.05441624908082
45,110.05441624908082
46,110.05441624908082
47,110.05441624908082
48,110.05441624908082
49,110.05441624908082
50,110.05441624908082
51,110.05441624908082
52,110.05441624908082
53,110.05441624908082
54,110.05441624908082
55,110.05441624908082
56,110.05441624908082
57,110.05441624908082
58,110.05441624908082
59,110.05441624908082
60,110.05441624908082
61,110.05441624908082
62,110.05441624908082
63,110.05441624908082
64,110.05441624908082
65,110.05441624908082
66,110.05441624908082
67,110.05441624908082
68,110.05441624908082
69,110.05441624908082
70,110.05441624908082
71,110.05441624908082
72,110.05441624908082
73,110.05441624908082
74,110.05441624908082
75,110.05441624908082
76,110.05441624908082
77,110.05441624908082
78,110.05441624908082
79,110.05441624908082
80,110.05441624908082
81,110.05441624908082
82,110.05441624908082
83,110.05441624908082
84,110.05441624908082
85,110.05441624908082
86,110.05441624908082
87,110.05441624908082
88,110.05441624908082
89,110.05441624908082
90,110.05441624908082
91,110.05441624908082
92,110.05441624908082
93,110.05441624908082
94,110.05441624908082
95,110.05441624908082
96,110.05441624908082
97,110.05441624908082
98,110.05441624908082
99,110.05441624908082
100,110.05441624908082
101,110.05441624908082
102,110.05441624908082
103,110.05441624908082
104,110.05441624908082
105,110.05441624908082
106,110.05441624908082
107,110.05441624908082
108,110.05441624908082
109,110.05441624908082
110,110.05441624908082
111,110.05441624908082
112,110.05441624908082
113,110.05441624908082
114,110.05441624908082
115,110.05441624908082
116,110.05441624908082
117,110.05441624908082
118,110.05441624908082
119,110.05441624908082
120,110.05441624908082
121,110.05441624908082
122,110.05441624908082
123,110.05441624908082
124,110.05441624908082
125,110.05441624908082
126,110.05441624908082
127,110.05441624908082
128,110.05441624908082
129,110.05441624908082
130,110.05441624908082
131,110.05441624908082
132,110.05441624908082
133,110.05441624908082
134,110.05441624908082
135,110.05441624908082
136,110.05441624908082
137,110.05441624908082
138,110.05441624908082
139,110.05441624908082
140,110.05441624908082
141,110.05441624908082
142,110.05441624908082
143,110.05441624908082
144,110.05441624908082
145,110.05441624908082
146,110.05441624908082
147,110.05441624908082
148,110.05441624908082
149,110.05441624908082
