,0
0,"tensor(25.2802, dtype=torch.float64)"
1,"tensor(17.2404, dtype=torch.float64)"
2,"tensor(16.7548, dtype=torch.float64)"
3,"tensor(9.2619, dtype=torch.float64)"
4,"tensor(16.4076, dtype=torch.float64)"
5,"tensor(8.5436, dtype=torch.float64)"
6,"tensor(24.4644, dtype=torch.float64)"
7,"tensor(32.4557, dtype=torch.float64)"
8,"tensor(18.7824, dtype=torch.float64)"
9,"tensor(37.2736, dtype=torch.float64)"
10,"tensor(14.5432, dtype=torch.float64)"
11,"tensor(14.3797, dtype=torch.float64)"
12,"tensor(18.2338, dtype=torch.float64)"
13,"tensor(36.0019, dtype=torch.float64)"
14,"tensor(11.3069, dtype=torch.float64)"
15,"tensor(42.3857, dtype=torch.float64)"
16,"tensor(21.1885, dtype=torch.float64)"
17,"tensor(23.0957, dtype=torch.float64)"
18,"tensor(48.0359, dtype=torch.float64)"
19,"tensor(9.3954, dtype=torch.float64)"
20,"tensor(9.0510, dtype=torch.float64)"
21,"tensor(7.5870, dtype=torch.float64)"
22,"tensor(33.2263, dtype=torch.float64)"
23,"tensor(23.0632, dtype=torch.float64)"
24,"tensor(33.1005, dtype=torch.float64)"
25,"tensor(43.1825, dtype=torch.float64)"
26,"tensor(20.0349, dtype=torch.float64)"
27,"tensor(8.5011, dtype=torch.float64)"
28,"tensor(10.2125, dtype=torch.float64)"
29,"tensor(24.8144, dtype=torch.float64)"
30,"tensor(27.1009, dtype=torch.float64)"
31,"tensor(9.5740, dtype=torch.float64)"
32,"tensor(11.3732, dtype=torch.float64)"
33,"tensor(30.8283, dtype=torch.float64)"
34,"tensor(40.5071, dtype=torch.float64)"
35,"tensor(8.6847, dtype=torch.float64)"
36,"tensor(46.8594, dtype=torch.float64)"
37,"tensor(15.6064, dtype=torch.float64)"
38,"tensor(15.1223, dtype=torch.float64)"
39,"tensor(29.9875, dtype=torch.float64)"
40,"tensor(27.4735, dtype=torch.float64)"
41,"tensor(25.4889, dtype=torch.float64)"
42,"tensor(18.4754, dtype=torch.float64)"
43,"tensor(12.9326, dtype=torch.float64)"
44,"tensor(45.2172, dtype=torch.float64)"
45,"tensor(13.2780, dtype=torch.float64)"
46,"tensor(23.8260, dtype=torch.float64)"
47,"tensor(24.1247, dtype=torch.float64)"
48,"tensor(19.9852, dtype=torch.float64)"
49,"tensor(19.1950, dtype=torch.float64)"
50,"tensor(17.5527, dtype=torch.float64)"
51,"tensor(10.0970, dtype=torch.float64)"
52,"tensor(8.4712, dtype=torch.float64)"
53,"tensor(23.8917, dtype=torch.float64)"
54,"tensor(12.5962, dtype=torch.float64)"
55,"tensor(17.5071, dtype=torch.float64)"
56,"tensor(13.3183, dtype=torch.float64)"
57,"tensor(15.9348, dtype=torch.float64)"
58,"tensor(51.7229, dtype=torch.float64)"
59,"tensor(23.9776, dtype=torch.float64)"
60,"tensor(16.2479, dtype=torch.float64)"
61,"tensor(26.9575, dtype=torch.float64)"
62,"tensor(16.9441, dtype=torch.float64)"
63,"tensor(60.5246, dtype=torch.float64)"
64,"tensor(50.4720, dtype=torch.float64)"
65,"tensor(47.3602, dtype=torch.float64)"
66,"tensor(16.7900, dtype=torch.float64)"
67,"tensor(9.0750, dtype=torch.float64)"
68,"tensor(61.0364, dtype=torch.float64)"
69,"tensor(23.5886, dtype=torch.float64)"
70,"tensor(28.6795, dtype=torch.float64)"
71,"tensor(29.8727, dtype=torch.float64)"
72,"tensor(14.6861, dtype=torch.float64)"
73,"tensor(12.2785, dtype=torch.float64)"
74,"tensor(9.5989, dtype=torch.float64)"
75,"tensor(27.1706, dtype=torch.float64)"
76,"tensor(27.9871, dtype=torch.float64)"
77,"tensor(27.0348, dtype=torch.float64)"
78,"tensor(16.4914, dtype=torch.float64)"
79,"tensor(16.9241, dtype=torch.float64)"
80,"tensor(14.5174, dtype=torch.float64)"
81,"tensor(30.2078, dtype=torch.float64)"
82,"tensor(40.9777, dtype=torch.float64)"
83,"tensor(9.6811, dtype=torch.float64)"
84,"tensor(22.5574, dtype=torch.float64)"
85,"tensor(11.7885, dtype=torch.float64)"
86,"tensor(14.3284, dtype=torch.float64)"
87,"tensor(11.5893, dtype=torch.float64)"
88,"tensor(24.1215, dtype=torch.float64)"
89,"tensor(27.9074, dtype=torch.float64)"
90,"tensor(8.9536, dtype=torch.float64)"
91,"tensor(36.5763, dtype=torch.float64)"
92,"tensor(10.2779, dtype=torch.float64)"
93,"tensor(15.9042, dtype=torch.float64)"
94,"tensor(11.4017, dtype=torch.float64)"
95,"tensor(15.3374, dtype=torch.float64)"
96,"tensor(35.5485, dtype=torch.float64)"
97,"tensor(15.2749, dtype=torch.float64)"
98,"tensor(43.8492, dtype=torch.float64)"
99,"tensor(13.1081, dtype=torch.float64)"
100,"tensor(11.6663, dtype=torch.float64)"
101,"tensor(37.5426, dtype=torch.float64)"
102,"tensor(19.1747, dtype=torch.float64)"
103,"tensor(15.9688, dtype=torch.float64)"
104,"tensor(12.4496, dtype=torch.float64)"
105,"tensor(29.3215, dtype=torch.float64)"
106,"tensor(34.4549, dtype=torch.float64)"
107,"tensor(8.7161, dtype=torch.float64)"
108,"tensor(46.6008, dtype=torch.float64)"
109,"tensor(13.5414, dtype=torch.float64)"
110,"tensor(21.6930, dtype=torch.float64)"
111,"tensor(33.3072, dtype=torch.float64)"
112,"tensor(10.3687, dtype=torch.float64)"
113,"tensor(11.0015, dtype=torch.float64)"
114,"tensor(16.8029, dtype=torch.float64)"
115,"tensor(32.3875, dtype=torch.float64)"
116,"tensor(10.8061, dtype=torch.float64)"
117,"tensor(14.7294, dtype=torch.float64)"
118,"tensor(28.1918, dtype=torch.float64)"
119,"tensor(9.2663, dtype=torch.float64)"
120,"tensor(24.0943, dtype=torch.float64)"
121,"tensor(33.5351, dtype=torch.float64)"
122,"tensor(16.3598, dtype=torch.float64)"
123,"tensor(29.0568, dtype=torch.float64)"
124,"tensor(9.6879, dtype=torch.float64)"
125,"tensor(10.4241, dtype=torch.float64)"
126,"tensor(9.7458, dtype=torch.float64)"
127,"tensor(34.6859, dtype=torch.float64)"
128,"tensor(13.8972, dtype=torch.float64)"
129,"tensor(29.9708, dtype=torch.float64)"
130,"tensor(10.2973, dtype=torch.float64)"
131,"tensor(11.3547, dtype=torch.float64)"
132,"tensor(47.0791, dtype=torch.float64)"
133,"tensor(10.1139, dtype=torch.float64)"
134,"tensor(27.8766, dtype=torch.float64)"
135,"tensor(9.5936, dtype=torch.float64)"
136,"tensor(19.5260, dtype=torch.float64)"
137,"tensor(10.4796, dtype=torch.float64)"
138,"tensor(19.2648, dtype=torch.float64)"
139,"tensor(12.0838, dtype=torch.float64)"
140,"tensor(37.4683, dtype=torch.float64)"
141,"tensor(33.4906, dtype=torch.float64)"
142,"tensor(9.6600, dtype=torch.float64)"
143,"tensor(9.6643, dtype=torch.float64)"
144,"tensor(10.3656, dtype=torch.float64)"
145,"tensor(28.6835, dtype=torch.float64)"
146,"tensor(30.3099, dtype=torch.float64)"
147,"tensor(30.8082, dtype=torch.float64)"
148,"tensor(13.5894, dtype=torch.float64)"
149,"tensor(10.6724, dtype=torch.float64)"
150,"tensor(18.8615, dtype=torch.float64)"
151,"tensor(11.8447, dtype=torch.float64)"
152,"tensor(9.5988, dtype=torch.float64)"
153,"tensor(41.6075, dtype=torch.float64)"
154,"tensor(8.2336, dtype=torch.float64)"
155,"tensor(34.8285, dtype=torch.float64)"
156,"tensor(26.6168, dtype=torch.float64)"
157,"tensor(8.3317, dtype=torch.float64)"
158,"tensor(20.7777, dtype=torch.float64)"
