,0
0,"tensor(12.8423, dtype=torch.float64)"
1,"tensor(17.7093, dtype=torch.float64)"
2,"tensor(12.3423, dtype=torch.float64)"
3,"tensor(15.3670, dtype=torch.float64)"
4,"tensor(11.5288, dtype=torch.float64)"
5,"tensor(16.2914, dtype=torch.float64)"
6,"tensor(11.8603, dtype=torch.float64)"
7,"tensor(17.6381, dtype=torch.float64)"
8,"tensor(13.8969, dtype=torch.float64)"
9,"tensor(15.5117, dtype=torch.float64)"
10,"tensor(22.1157, dtype=torch.float64)"
11,"tensor(12.4976, dtype=torch.float64)"
12,"tensor(15.7523, dtype=torch.float64)"
13,"tensor(8.2224, dtype=torch.float64)"
14,"tensor(15.3753, dtype=torch.float64)"
15,"tensor(30.7462, dtype=torch.float64)"
16,"tensor(39.7569, dtype=torch.float64)"
17,"tensor(15.4879, dtype=torch.float64)"
18,"tensor(11.2753, dtype=torch.float64)"
19,"tensor(33.5360, dtype=torch.float64)"
20,"tensor(12.0080, dtype=torch.float64)"
21,"tensor(11.9067, dtype=torch.float64)"
22,"tensor(25.9792, dtype=torch.float64)"
23,"tensor(13.3578, dtype=torch.float64)"
24,"tensor(32.5856, dtype=torch.float64)"
25,"tensor(16.2356, dtype=torch.float64)"
26,"tensor(9.8270, dtype=torch.float64)"
27,"tensor(44.6744, dtype=torch.float64)"
28,"tensor(17.6327, dtype=torch.float64)"
29,"tensor(22.9277, dtype=torch.float64)"
30,"tensor(19.4388, dtype=torch.float64)"
31,"tensor(24.9140, dtype=torch.float64)"
32,"tensor(13.8534, dtype=torch.float64)"
33,"tensor(15.5615, dtype=torch.float64)"
34,"tensor(25.3485, dtype=torch.float64)"
35,"tensor(8.3714, dtype=torch.float64)"
36,"tensor(33.4109, dtype=torch.float64)"
37,"tensor(41.9659, dtype=torch.float64)"
38,"tensor(13.5363, dtype=torch.float64)"
39,"tensor(21.6087, dtype=torch.float64)"
40,"tensor(21.6724, dtype=torch.float64)"
41,"tensor(24.6159, dtype=torch.float64)"
42,"tensor(12.1982, dtype=torch.float64)"
43,"tensor(9.9892, dtype=torch.float64)"
44,"tensor(27.3616, dtype=torch.float64)"
45,"tensor(16.6058, dtype=torch.float64)"
46,"tensor(48.8203, dtype=torch.float64)"
47,"tensor(10.0529, dtype=torch.float64)"
48,"tensor(17.3930, dtype=torch.float64)"
49,"tensor(25.7053, dtype=torch.float64)"
50,"tensor(13.2333, dtype=torch.float64)"
51,"tensor(9.7335, dtype=torch.float64)"
