,0
133,"tensor(57.6345, dtype=torch.float64)"
134,"tensor(100.1120, dtype=torch.float64)"
135,"tensor(136.8192, dtype=torch.float64)"
136,"tensor(98.9808, dtype=torch.float64)"
137,"tensor(115.2259, dtype=torch.float64)"
138,"tensor(83.5650, dtype=torch.float64)"
139,"tensor(91.6898, dtype=torch.float64)"
140,"tensor(111.9814, dtype=torch.float64)"
141,"tensor(7.9434, dtype=torch.float64)"
142,"tensor(14.7730, dtype=torch.float64)"
143,"tensor(10.7607, dtype=torch.float64)"
144,"tensor(106.8185, dtype=torch.float64)"
145,"tensor(47.8880, dtype=torch.float64)"
146,"tensor(42.2557, dtype=torch.float64)"
147,"tensor(131.0671, dtype=torch.float64)"
148,"tensor(219.0666, dtype=torch.float64)"
149,"tensor(94.3391, dtype=torch.float64)"
150,"tensor(76.1207, dtype=torch.float64)"
151,"tensor(5.6242, dtype=torch.float64)"
152,"tensor(49.3664, dtype=torch.float64)"
153,"tensor(51.4571, dtype=torch.float64)"
154,"tensor(71.5852, dtype=torch.float64)"
155,"tensor(220.1848, dtype=torch.float64)"
156,"tensor(40.2865, dtype=torch.float64)"
157,"tensor(12.8976, dtype=torch.float64)"
158,"tensor(103.7066, dtype=torch.float64)"
159,"tensor(74.2532, dtype=torch.float64)"
160,"tensor(190.1204, dtype=torch.float64)"
161,"tensor(39.3381, dtype=torch.float64)"
162,"tensor(77.8650, dtype=torch.float64)"
163,"tensor(158.3087, dtype=torch.float64)"
164,"tensor(63.7019, dtype=torch.float64)"
165,"tensor(32.9025, dtype=torch.float64)"
166,"tensor(110.9041, dtype=torch.float64)"
167,"tensor(163.1924, dtype=torch.float64)"
168,"tensor(75.4900, dtype=torch.float64)"
169,"tensor(33.8903, dtype=torch.float64)"
170,"tensor(73.3464, dtype=torch.float64)"
171,"tensor(476.9860, dtype=torch.float64)"
172,"tensor(32.8742, dtype=torch.float64)"
173,"tensor(142.3298, dtype=torch.float64)"
174,"tensor(34.5574, dtype=torch.float64)"
175,"tensor(10.8339, dtype=torch.float64)"
176,"tensor(386.7139, dtype=torch.float64)"
177,"tensor(140.3487, dtype=torch.float64)"
178,"tensor(79.2869, dtype=torch.float64)"
179,"tensor(123.1871, dtype=torch.float64)"
180,"tensor(131.0190, dtype=torch.float64)"
181,"tensor(5.6242, dtype=torch.float64)"
182,"tensor(203.0900, dtype=torch.float64)"
183,"tensor(137.3926, dtype=torch.float64)"
184,"tensor(129.7674, dtype=torch.float64)"
185,"tensor(85.7602, dtype=torch.float64)"
186,"tensor(113.0693, dtype=torch.float64)"
187,"tensor(108.4944, dtype=torch.float64)"
188,"tensor(133.3025, dtype=torch.float64)"
189,"tensor(237.2418, dtype=torch.float64)"
190,"tensor(30.6056, dtype=torch.float64)"
191,"tensor(34.3137, dtype=torch.float64)"
192,"tensor(5.1875, dtype=torch.float64)"
193,"tensor(90.4765, dtype=torch.float64)"
194,"tensor(90.9986, dtype=torch.float64)"
195,"tensor(116.4846, dtype=torch.float64)"
196,"tensor(95.0444, dtype=torch.float64)"
197,"tensor(140.4818, dtype=torch.float64)"
198,"tensor(122.7995, dtype=torch.float64)"
199,"tensor(96.8278, dtype=torch.float64)"
200,"tensor(83.0594, dtype=torch.float64)"
