,0
0,"tensor(87.5283, dtype=torch.float64)"
1,"tensor(71.1228, dtype=torch.float64)"
2,"tensor(92.8730, dtype=torch.float64)"
3,"tensor(134.3292, dtype=torch.float64)"
4,"tensor(105.0717, dtype=torch.float64)"
5,"tensor(88.7376, dtype=torch.float64)"
6,"tensor(88.9184, dtype=torch.float64)"
7,"tensor(89.0670, dtype=torch.float64)"
8,"tensor(108.1396, dtype=torch.float64)"
9,"tensor(87.5038, dtype=torch.float64)"
10,"tensor(123.9825, dtype=torch.float64)"
11,"tensor(126.6386, dtype=torch.float64)"
12,"tensor(118.5361, dtype=torch.float64)"
13,"tensor(117.6989, dtype=torch.float64)"
14,"tensor(93.2396, dtype=torch.float64)"
15,"tensor(99.8421, dtype=torch.float64)"
16,"tensor(93.6318, dtype=torch.float64)"
17,"tensor(95.0597, dtype=torch.float64)"
18,"tensor(91.4612, dtype=torch.float64)"
19,"tensor(90.1785, dtype=torch.float64)"
20,"tensor(127.6631, dtype=torch.float64)"
21,"tensor(129.9732, dtype=torch.float64)"
22,"tensor(72.7662, dtype=torch.float64)"
23,"tensor(69.0305, dtype=torch.float64)"
24,"tensor(129.0705, dtype=torch.float64)"
25,"tensor(118.8748, dtype=torch.float64)"
26,"tensor(84.4221, dtype=torch.float64)"
27,"tensor(103.5436, dtype=torch.float64)"
28,"tensor(96.8682, dtype=torch.float64)"
29,"tensor(67.0741, dtype=torch.float64)"
30,"tensor(110.6037, dtype=torch.float64)"
31,"tensor(109.1007, dtype=torch.float64)"
32,"tensor(74.6710, dtype=torch.float64)"
33,"tensor(92.4156, dtype=torch.float64)"
34,"tensor(115.0129, dtype=torch.float64)"
35,"tensor(141.3685, dtype=torch.float64)"
36,"tensor(79.5465, dtype=torch.float64)"
37,"tensor(88.1052, dtype=torch.float64)"
38,"tensor(70.8521, dtype=torch.float64)"
39,"tensor(92.2856, dtype=torch.float64)"
40,"tensor(102.9543, dtype=torch.float64)"
41,"tensor(101.5419, dtype=torch.float64)"
42,"tensor(112.1483, dtype=torch.float64)"
43,"tensor(75.8012, dtype=torch.float64)"
44,"tensor(114.0329, dtype=torch.float64)"
45,"tensor(71.7992, dtype=torch.float64)"
46,"tensor(83.5195, dtype=torch.float64)"
47,"tensor(105.5519, dtype=torch.float64)"
48,"tensor(83.1933, dtype=torch.float64)"
49,"tensor(71.2386, dtype=torch.float64)"
50,"tensor(65.3179, dtype=torch.float64)"
51,"tensor(132.0719, dtype=torch.float64)"
52,"tensor(82.7628, dtype=torch.float64)"
53,"tensor(112.9403, dtype=torch.float64)"
54,"tensor(107.6984, dtype=torch.float64)"
55,"tensor(78.0372, dtype=torch.float64)"
56,"tensor(67.5955, dtype=torch.float64)"
57,"tensor(91.3133, dtype=torch.float64)"
58,"tensor(108.0538, dtype=torch.float64)"
59,"tensor(88.1127, dtype=torch.float64)"
60,"tensor(100.7606, dtype=torch.float64)"
61,"tensor(123.1406, dtype=torch.float64)"
62,"tensor(83.8348, dtype=torch.float64)"
63,"tensor(112.7872, dtype=torch.float64)"
64,"tensor(79.5355, dtype=torch.float64)"
