,0
0,"tensor(18.8678, dtype=torch.float64)"
1,"tensor(22.7277, dtype=torch.float64)"
2,"tensor(42.5329, dtype=torch.float64)"
3,"tensor(15.0157, dtype=torch.float64)"
4,"tensor(25.0278, dtype=torch.float64)"
5,"tensor(29.8314, dtype=torch.float64)"
6,"tensor(26.5350, dtype=torch.float64)"
7,"tensor(21.0071, dtype=torch.float64)"
8,"tensor(11.3022, dtype=torch.float64)"
9,"tensor(48.0119, dtype=torch.float64)"
10,"tensor(19.1810, dtype=torch.float64)"
11,"tensor(8.7149, dtype=torch.float64)"
12,"tensor(30.7397, dtype=torch.float64)"
13,"tensor(16.2344, dtype=torch.float64)"
14,"tensor(20.0342, dtype=torch.float64)"
15,"tensor(10.6137, dtype=torch.float64)"
16,"tensor(30.5986, dtype=torch.float64)"
17,"tensor(14.4752, dtype=torch.float64)"
18,"tensor(31.6676, dtype=torch.float64)"
19,"tensor(18.3140, dtype=torch.float64)"
20,"tensor(26.3988, dtype=torch.float64)"
21,"tensor(9.6084, dtype=torch.float64)"
22,"tensor(20.7739, dtype=torch.float64)"
23,"tensor(47.3269, dtype=torch.float64)"
24,"tensor(40.2845, dtype=torch.float64)"
25,"tensor(29.7188, dtype=torch.float64)"
26,"tensor(31.1573, dtype=torch.float64)"
27,"tensor(27.9319, dtype=torch.float64)"
28,"tensor(30.1582, dtype=torch.float64)"
29,"tensor(23.7072, dtype=torch.float64)"
30,"tensor(14.0261, dtype=torch.float64)"
31,"tensor(20.1557, dtype=torch.float64)"
32,"tensor(23.3186, dtype=torch.float64)"
33,"tensor(15.1630, dtype=torch.float64)"
34,"tensor(8.2007, dtype=torch.float64)"
35,"tensor(49.4251, dtype=torch.float64)"
36,"tensor(9.1733, dtype=torch.float64)"
37,"tensor(14.2525, dtype=torch.float64)"
38,"tensor(49.0364, dtype=torch.float64)"
39,"tensor(9.8628, dtype=torch.float64)"
40,"tensor(8.3467, dtype=torch.float64)"
41,"tensor(41.1738, dtype=torch.float64)"
42,"tensor(37.0210, dtype=torch.float64)"
43,"tensor(13.5830, dtype=torch.float64)"
44,"tensor(31.1404, dtype=torch.float64)"
45,"tensor(20.6930, dtype=torch.float64)"
46,"tensor(11.0217, dtype=torch.float64)"
47,"tensor(14.6379, dtype=torch.float64)"
48,"tensor(31.8097, dtype=torch.float64)"
49,"tensor(34.3642, dtype=torch.float64)"
50,"tensor(15.6554, dtype=torch.float64)"
51,"tensor(27.1884, dtype=torch.float64)"
52,"tensor(39.8437, dtype=torch.float64)"
53,"tensor(8.4802, dtype=torch.float64)"
54,"tensor(33.1901, dtype=torch.float64)"
55,"tensor(39.7316, dtype=torch.float64)"
56,"tensor(10.3074, dtype=torch.float64)"
57,"tensor(11.6267, dtype=torch.float64)"
58,"tensor(49.0931, dtype=torch.float64)"
59,"tensor(58.0154, dtype=torch.float64)"
60,"tensor(8.8401, dtype=torch.float64)"
61,"tensor(46.0874, dtype=torch.float64)"
62,"tensor(9.0185, dtype=torch.float64)"
63,"tensor(16.3238, dtype=torch.float64)"
64,"tensor(32.2492, dtype=torch.float64)"
65,"tensor(11.2344, dtype=torch.float64)"
66,"tensor(33.3291, dtype=torch.float64)"
67,"tensor(10.7170, dtype=torch.float64)"
68,"tensor(9.5690, dtype=torch.float64)"
69,"tensor(18.9901, dtype=torch.float64)"
70,"tensor(9.7279, dtype=torch.float64)"
71,"tensor(29.7513, dtype=torch.float64)"
72,"tensor(12.8528, dtype=torch.float64)"
73,"tensor(12.8075, dtype=torch.float64)"
74,"tensor(9.6462, dtype=torch.float64)"
75,"tensor(25.3357, dtype=torch.float64)"
76,"tensor(40.5450, dtype=torch.float64)"
77,"tensor(29.0427, dtype=torch.float64)"
78,"tensor(41.9063, dtype=torch.float64)"
79,"tensor(41.5665, dtype=torch.float64)"
80,"tensor(21.8925, dtype=torch.float64)"
81,"tensor(24.1655, dtype=torch.float64)"
82,"tensor(26.7481, dtype=torch.float64)"
83,"tensor(12.9896, dtype=torch.float64)"
84,"tensor(36.3389, dtype=torch.float64)"
85,"tensor(43.0084, dtype=torch.float64)"
86,"tensor(9.3278, dtype=torch.float64)"
87,"tensor(37.4394, dtype=torch.float64)"
88,"tensor(25.0920, dtype=torch.float64)"
89,"tensor(41.1541, dtype=torch.float64)"
90,"tensor(29.8168, dtype=torch.float64)"
91,"tensor(21.5967, dtype=torch.float64)"
92,"tensor(22.9368, dtype=torch.float64)"
93,"tensor(11.4827, dtype=torch.float64)"
94,"tensor(11.0256, dtype=torch.float64)"
95,"tensor(13.8846, dtype=torch.float64)"
96,"tensor(10.3706, dtype=torch.float64)"
97,"tensor(29.3911, dtype=torch.float64)"
98,"tensor(13.4389, dtype=torch.float64)"
99,"tensor(17.2836, dtype=torch.float64)"
100,"tensor(9.9571, dtype=torch.float64)"
101,"tensor(10.1040, dtype=torch.float64)"
102,"tensor(33.9193, dtype=torch.float64)"
103,"tensor(11.7619, dtype=torch.float64)"
104,"tensor(55.9763, dtype=torch.float64)"
105,"tensor(31.9046, dtype=torch.float64)"
106,"tensor(24.3695, dtype=torch.float64)"
107,"tensor(32.1298, dtype=torch.float64)"
108,"tensor(10.7115, dtype=torch.float64)"
109,"tensor(58.9871, dtype=torch.float64)"
110,"tensor(11.0375, dtype=torch.float64)"
111,"tensor(27.1891, dtype=torch.float64)"
112,"tensor(10.9220, dtype=torch.float64)"
113,"tensor(32.4768, dtype=torch.float64)"
114,"tensor(40.8583, dtype=torch.float64)"
115,"tensor(29.9051, dtype=torch.float64)"
116,"tensor(11.3039, dtype=torch.float64)"
117,"tensor(26.1930, dtype=torch.float64)"
118,"tensor(9.3507, dtype=torch.float64)"
119,"tensor(27.7887, dtype=torch.float64)"
120,"tensor(28.9124, dtype=torch.float64)"
121,"tensor(38.7275, dtype=torch.float64)"
122,"tensor(22.3451, dtype=torch.float64)"
123,"tensor(12.4534, dtype=torch.float64)"
124,"tensor(10.5272, dtype=torch.float64)"
125,"tensor(10.7679, dtype=torch.float64)"
126,"tensor(19.8606, dtype=torch.float64)"
127,"tensor(19.9635, dtype=torch.float64)"
128,"tensor(29.0701, dtype=torch.float64)"
129,"tensor(16.0553, dtype=torch.float64)"
130,"tensor(10.1245, dtype=torch.float64)"
131,"tensor(18.8602, dtype=torch.float64)"
132,"tensor(10.7160, dtype=torch.float64)"
133,"tensor(37.6060, dtype=torch.float64)"
134,"tensor(16.1535, dtype=torch.float64)"
135,"tensor(18.8280, dtype=torch.float64)"
136,"tensor(10.5754, dtype=torch.float64)"
137,"tensor(25.7393, dtype=torch.float64)"
138,"tensor(10.2157, dtype=torch.float64)"
139,"tensor(16.0053, dtype=torch.float64)"
140,"tensor(13.2604, dtype=torch.float64)"
141,"tensor(24.2450, dtype=torch.float64)"
142,"tensor(24.3428, dtype=torch.float64)"
143,"tensor(39.1699, dtype=torch.float64)"
144,"tensor(13.3256, dtype=torch.float64)"
145,"tensor(27.6925, dtype=torch.float64)"
146,"tensor(34.6466, dtype=torch.float64)"
147,"tensor(10.0853, dtype=torch.float64)"
148,"tensor(25.3849, dtype=torch.float64)"
149,"tensor(30.0534, dtype=torch.float64)"
150,"tensor(34.9695, dtype=torch.float64)"
151,"tensor(21.0639, dtype=torch.float64)"
152,"tensor(8.5976, dtype=torch.float64)"
153,"tensor(9.8725, dtype=torch.float64)"
154,"tensor(13.0750, dtype=torch.float64)"
155,"tensor(34.3741, dtype=torch.float64)"
156,"tensor(16.1857, dtype=torch.float64)"
157,"tensor(25.0021, dtype=torch.float64)"
158,"tensor(48.8261, dtype=torch.float64)"
159,"tensor(9.3974, dtype=torch.float64)"
160,"tensor(16.6326, dtype=torch.float64)"
161,"tensor(33.1780, dtype=torch.float64)"
162,"tensor(9.2195, dtype=torch.float64)"
163,"tensor(48.9962, dtype=torch.float64)"
164,"tensor(7.1569, dtype=torch.float64)"
165,"tensor(35.2360, dtype=torch.float64)"
166,"tensor(13.7432, dtype=torch.float64)"
167,"tensor(21.7891, dtype=torch.float64)"
168,"tensor(14.0948, dtype=torch.float64)"
169,"tensor(17.1041, dtype=torch.float64)"
170,"tensor(8.0232, dtype=torch.float64)"
171,"tensor(44.2025, dtype=torch.float64)"
172,"tensor(30.7927, dtype=torch.float64)"
173,"tensor(21.9605, dtype=torch.float64)"
174,"tensor(34.9890, dtype=torch.float64)"
175,"tensor(53.1510, dtype=torch.float64)"
176,"tensor(30.0281, dtype=torch.float64)"
177,"tensor(16.5342, dtype=torch.float64)"
178,"tensor(12.2950, dtype=torch.float64)"
179,"tensor(30.8961, dtype=torch.float64)"
180,"tensor(41.2801, dtype=torch.float64)"
181,"tensor(10.0556, dtype=torch.float64)"
182,"tensor(11.5801, dtype=torch.float64)"
183,"tensor(10.6717, dtype=torch.float64)"
184,"tensor(37.4001, dtype=torch.float64)"
185,"tensor(13.1684, dtype=torch.float64)"
