,0
0,"tensor(110.7187, dtype=torch.float64)"
1,"tensor(403.8884, dtype=torch.float64)"
2,"tensor(91.4441, dtype=torch.float64)"
3,"tensor(240.9325, dtype=torch.float64)"
4,"tensor(83.3009, dtype=torch.float64)"
5,"tensor(8.7305, dtype=torch.float64)"
6,"tensor(230.3413, dtype=torch.float64)"
7,"tensor(344.7158, dtype=torch.float64)"
8,"tensor(85.2286, dtype=torch.float64)"
9,"tensor(161.7065, dtype=torch.float64)"
10,"tensor(15.5550, dtype=torch.float64)"
11,"tensor(156.3358, dtype=torch.float64)"
12,"tensor(40.3606, dtype=torch.float64)"
13,"tensor(143.8740, dtype=torch.float64)"
14,"tensor(54.6665, dtype=torch.float64)"
15,"tensor(548.9979, dtype=torch.float64)"
16,"tensor(62.1480, dtype=torch.float64)"
17,"tensor(17.9981, dtype=torch.float64)"
18,"tensor(112.6374, dtype=torch.float64)"
19,"tensor(27.6772, dtype=torch.float64)"
20,"tensor(99.9786, dtype=torch.float64)"
21,"tensor(177.4045, dtype=torch.float64)"
22,"tensor(85.5885, dtype=torch.float64)"
23,"tensor(89.1687, dtype=torch.float64)"
24,"tensor(199.5940, dtype=torch.float64)"
25,"tensor(326.4171, dtype=torch.float64)"
26,"tensor(99.3946, dtype=torch.float64)"
27,"tensor(15.4451, dtype=torch.float64)"
28,"tensor(143.5208, dtype=torch.float64)"
29,"tensor(115.8899, dtype=torch.float64)"
30,"tensor(114.2380, dtype=torch.float64)"
31,"tensor(87.8482, dtype=torch.float64)"
32,"tensor(24.7979, dtype=torch.float64)"
33,"tensor(84.1483, dtype=torch.float64)"
34,"tensor(105.0232, dtype=torch.float64)"
35,"tensor(79.2709, dtype=torch.float64)"
36,"tensor(92.8234, dtype=torch.float64)"
37,"tensor(206.1574, dtype=torch.float64)"
38,"tensor(312.6260, dtype=torch.float64)"
39,"tensor(7.4447, dtype=torch.float64)"
40,"tensor(35.9165, dtype=torch.float64)"
41,"tensor(161.5127, dtype=torch.float64)"
42,"tensor(193.5168, dtype=torch.float64)"
43,"tensor(6.5204, dtype=torch.float64)"
44,"tensor(6.5386, dtype=torch.float64)"
45,"tensor(34.5785, dtype=torch.float64)"
46,"tensor(5.7158, dtype=torch.float64)"
47,"tensor(34.0681, dtype=torch.float64)"
48,"tensor(125.0211, dtype=torch.float64)"
49,"tensor(80.2130, dtype=torch.float64)"
50,"tensor(66.2372, dtype=torch.float64)"
51,"tensor(12.5501, dtype=torch.float64)"
52,"tensor(628.1685, dtype=torch.float64)"
53,"tensor(75.4479, dtype=torch.float64)"
54,"tensor(168.9883, dtype=torch.float64)"
55,"tensor(42.1786, dtype=torch.float64)"
56,"tensor(160.1360, dtype=torch.float64)"
57,"tensor(202.2707, dtype=torch.float64)"
58,"tensor(179.1089, dtype=torch.float64)"
59,"tensor(135.2432, dtype=torch.float64)"
60,"tensor(144.3968, dtype=torch.float64)"
61,"tensor(7.0575, dtype=torch.float64)"
62,"tensor(91.9322, dtype=torch.float64)"
63,"tensor(128.4495, dtype=torch.float64)"
64,"tensor(127.9351, dtype=torch.float64)"
65,"tensor(135.6643, dtype=torch.float64)"
66,"tensor(107.7001, dtype=torch.float64)"
67,"tensor(673.9983, dtype=torch.float64)"
68,"tensor(57.4124, dtype=torch.float64)"
69,"tensor(68.5656, dtype=torch.float64)"
70,"tensor(43.8773, dtype=torch.float64)"
71,"tensor(9.9846, dtype=torch.float64)"
72,"tensor(153.2250, dtype=torch.float64)"
73,"tensor(245.4777, dtype=torch.float64)"
74,"tensor(117.9789, dtype=torch.float64)"
75,"tensor(72.7673, dtype=torch.float64)"
