,0
0,"tensor(74.0985, dtype=torch.float64)"
1,"tensor(99.6354, dtype=torch.float64)"
2,"tensor(79.0631, dtype=torch.float64)"
3,"tensor(66.1032, dtype=torch.float64)"
4,"tensor(63.3582, dtype=torch.float64)"
5,"tensor(69.2536, dtype=torch.float64)"
6,"tensor(64.6156, dtype=torch.float64)"
7,"tensor(100.4824, dtype=torch.float64)"
8,"tensor(80.8540, dtype=torch.float64)"
9,"tensor(75.9601, dtype=torch.float64)"
10,"tensor(129.8875, dtype=torch.float64)"
11,"tensor(101.5841, dtype=torch.float64)"
12,"tensor(118.6983, dtype=torch.float64)"
13,"tensor(76.6176, dtype=torch.float64)"
14,"tensor(98.4814, dtype=torch.float64)"
15,"tensor(93.5822, dtype=torch.float64)"
16,"tensor(109.7925, dtype=torch.float64)"
17,"tensor(100.4692, dtype=torch.float64)"
18,"tensor(80.0310, dtype=torch.float64)"
19,"tensor(87.9402, dtype=torch.float64)"
20,"tensor(97.5749, dtype=torch.float64)"
21,"tensor(116.1982, dtype=torch.float64)"
22,"tensor(67.2357, dtype=torch.float64)"
23,"tensor(89.6094, dtype=torch.float64)"
24,"tensor(65.0298, dtype=torch.float64)"
25,"tensor(99.1101, dtype=torch.float64)"
26,"tensor(125.6736, dtype=torch.float64)"
27,"tensor(98.2771, dtype=torch.float64)"
28,"tensor(108.1722, dtype=torch.float64)"
29,"tensor(82.6347, dtype=torch.float64)"
30,"tensor(115.4607, dtype=torch.float64)"
31,"tensor(90.5218, dtype=torch.float64)"
32,"tensor(73.2186, dtype=torch.float64)"
33,"tensor(86.9257, dtype=torch.float64)"
34,"tensor(132.8268, dtype=torch.float64)"
35,"tensor(78.7824, dtype=torch.float64)"
36,"tensor(93.9182, dtype=torch.float64)"
37,"tensor(126.9834, dtype=torch.float64)"
38,"tensor(110.6074, dtype=torch.float64)"
39,"tensor(67.8766, dtype=torch.float64)"
40,"tensor(69.1968, dtype=torch.float64)"
41,"tensor(115.2659, dtype=torch.float64)"
42,"tensor(130.1255, dtype=torch.float64)"
43,"tensor(108.2994, dtype=torch.float64)"
44,"tensor(75.4322, dtype=torch.float64)"
45,"tensor(89.4562, dtype=torch.float64)"
46,"tensor(63.5826, dtype=torch.float64)"
47,"tensor(96.8497, dtype=torch.float64)"
48,"tensor(123.4497, dtype=torch.float64)"
49,"tensor(108.6746, dtype=torch.float64)"
50,"tensor(66.2105, dtype=torch.float64)"
51,"tensor(104.0309, dtype=torch.float64)"
52,"tensor(85.0289, dtype=torch.float64)"
53,"tensor(92.2071, dtype=torch.float64)"
54,"tensor(108.4120, dtype=torch.float64)"
55,"tensor(118.2904, dtype=torch.float64)"
56,"tensor(65.1524, dtype=torch.float64)"
57,"tensor(77.1906, dtype=torch.float64)"
58,"tensor(100.4564, dtype=torch.float64)"
59,"tensor(76.6380, dtype=torch.float64)"
60,"tensor(84.4118, dtype=torch.float64)"
61,"tensor(102.9081, dtype=torch.float64)"
62,"tensor(121.0877, dtype=torch.float64)"
63,"tensor(122.9888, dtype=torch.float64)"
64,"tensor(88.9771, dtype=torch.float64)"
65,"tensor(92.2636, dtype=torch.float64)"
66,"tensor(114.2429, dtype=torch.float64)"
67,"tensor(72.9407, dtype=torch.float64)"
68,"tensor(67.4775, dtype=torch.float64)"
69,"tensor(128.8351, dtype=torch.float64)"
70,"tensor(134.4284, dtype=torch.float64)"
71,"tensor(125.4807, dtype=torch.float64)"
72,"tensor(63.6897, dtype=torch.float64)"
73,"tensor(77.8690, dtype=torch.float64)"
74,"tensor(106.9205, dtype=torch.float64)"
75,"tensor(69.1058, dtype=torch.float64)"
76,"tensor(71.3011, dtype=torch.float64)"
77,"tensor(102.4699, dtype=torch.float64)"
78,"tensor(96.7952, dtype=torch.float64)"
79,"tensor(81.7358, dtype=torch.float64)"
80,"tensor(118.9272, dtype=torch.float64)"
81,"tensor(80.7899, dtype=torch.float64)"
82,"tensor(76.0549, dtype=torch.float64)"
83,"tensor(130.8954, dtype=torch.float64)"
84,"tensor(76.5112, dtype=torch.float64)"
85,"tensor(148.9645, dtype=torch.float64)"
86,"tensor(88.0243, dtype=torch.float64)"
87,"tensor(69.7633, dtype=torch.float64)"
88,"tensor(109.9002, dtype=torch.float64)"
89,"tensor(110.2059, dtype=torch.float64)"
90,"tensor(75.6420, dtype=torch.float64)"
91,"tensor(91.3541, dtype=torch.float64)"
92,"tensor(115.0399, dtype=torch.float64)"
93,"tensor(73.5835, dtype=torch.float64)"
94,"tensor(136.5898, dtype=torch.float64)"
95,"tensor(71.7219, dtype=torch.float64)"
96,"tensor(94.2150, dtype=torch.float64)"
97,"tensor(65.9786, dtype=torch.float64)"
98,"tensor(76.7334, dtype=torch.float64)"
99,"tensor(84.6322, dtype=torch.float64)"
100,"tensor(83.4696, dtype=torch.float64)"
101,"tensor(125.0481, dtype=torch.float64)"
102,"tensor(123.5231, dtype=torch.float64)"
103,"tensor(127.2861, dtype=torch.float64)"
104,"tensor(72.6184, dtype=torch.float64)"
105,"tensor(74.5990, dtype=torch.float64)"
106,"tensor(93.4825, dtype=torch.float64)"
107,"tensor(89.4545, dtype=torch.float64)"
108,"tensor(106.4431, dtype=torch.float64)"
109,"tensor(83.1713, dtype=torch.float64)"
110,"tensor(108.2415, dtype=torch.float64)"
111,"tensor(118.9851, dtype=torch.float64)"
112,"tensor(71.5590, dtype=torch.float64)"
113,"tensor(111.9533, dtype=torch.float64)"
114,"tensor(130.4267, dtype=torch.float64)"
115,"tensor(82.5239, dtype=torch.float64)"
