,0
0,"tensor(24.3141, dtype=torch.float64)"
1,"tensor(50.0653, dtype=torch.float64)"
2,"tensor(18.0781, dtype=torch.float64)"
3,"tensor(10.5380, dtype=torch.float64)"
4,"tensor(26.5043, dtype=torch.float64)"
5,"tensor(21.5554, dtype=torch.float64)"
6,"tensor(8.4771, dtype=torch.float64)"
7,"tensor(24.8220, dtype=torch.float64)"
8,"tensor(24.9009, dtype=torch.float64)"
9,"tensor(21.5116, dtype=torch.float64)"
10,"tensor(26.7535, dtype=torch.float64)"
11,"tensor(36.5295, dtype=torch.float64)"
12,"tensor(36.4085, dtype=torch.float64)"
13,"tensor(12.9561, dtype=torch.float64)"
14,"tensor(36.4744, dtype=torch.float64)"
15,"tensor(16.5814, dtype=torch.float64)"
16,"tensor(14.4480, dtype=torch.float64)"
17,"tensor(17.7265, dtype=torch.float64)"
18,"tensor(13.6249, dtype=torch.float64)"
19,"tensor(26.8587, dtype=torch.float64)"
20,"tensor(13.3324, dtype=torch.float64)"
21,"tensor(28.7078, dtype=torch.float64)"
22,"tensor(43.8276, dtype=torch.float64)"
23,"tensor(14.7740, dtype=torch.float64)"
24,"tensor(13.5792, dtype=torch.float64)"
25,"tensor(40.3870, dtype=torch.float64)"
26,"tensor(8.1647, dtype=torch.float64)"
27,"tensor(39.3650, dtype=torch.float64)"
28,"tensor(29.1592, dtype=torch.float64)"
29,"tensor(26.6107, dtype=torch.float64)"
30,"tensor(10.0132, dtype=torch.float64)"
31,"tensor(25.5851, dtype=torch.float64)"
32,"tensor(11.4818, dtype=torch.float64)"
33,"tensor(9.9632, dtype=torch.float64)"
34,"tensor(45.8121, dtype=torch.float64)"
35,"tensor(11.2640, dtype=torch.float64)"
36,"tensor(18.1401, dtype=torch.float64)"
37,"tensor(12.2043, dtype=torch.float64)"
38,"tensor(7.3931, dtype=torch.float64)"
39,"tensor(11.8551, dtype=torch.float64)"
40,"tensor(12.0148, dtype=torch.float64)"
41,"tensor(35.2133, dtype=torch.float64)"
