,0
0,"tensor(128.7089, dtype=torch.float64)"
1,"tensor(81.3513, dtype=torch.float64)"
2,"tensor(111.5514, dtype=torch.float64)"
3,"tensor(131.8390, dtype=torch.float64)"
4,"tensor(139.3117, dtype=torch.float64)"
5,"tensor(125.8041, dtype=torch.float64)"
6,"tensor(82.6338, dtype=torch.float64)"
7,"tensor(84.4726, dtype=torch.float64)"
8,"tensor(89.1089, dtype=torch.float64)"
9,"tensor(94.3853, dtype=torch.float64)"
10,"tensor(94.9058, dtype=torch.float64)"
11,"tensor(100.6489, dtype=torch.float64)"
12,"tensor(113.0799, dtype=torch.float64)"
13,"tensor(142.4566, dtype=torch.float64)"
14,"tensor(115.0805, dtype=torch.float64)"
15,"tensor(81.8730, dtype=torch.float64)"
16,"tensor(68.8495, dtype=torch.float64)"
17,"tensor(86.1432, dtype=torch.float64)"
18,"tensor(121.3851, dtype=torch.float64)"
19,"tensor(134.1222, dtype=torch.float64)"
20,"tensor(65.3522, dtype=torch.float64)"
21,"tensor(78.4127, dtype=torch.float64)"
22,"tensor(74.2074, dtype=torch.float64)"
23,"tensor(92.1254, dtype=torch.float64)"
24,"tensor(132.7718, dtype=torch.float64)"
25,"tensor(115.6245, dtype=torch.float64)"
26,"tensor(80.1116, dtype=torch.float64)"
27,"tensor(86.6965, dtype=torch.float64)"
28,"tensor(91.4146, dtype=torch.float64)"
29,"tensor(92.2591, dtype=torch.float64)"
30,"tensor(117.6274, dtype=torch.float64)"
31,"tensor(76.2469, dtype=torch.float64)"
32,"tensor(90.8422, dtype=torch.float64)"
33,"tensor(104.4495, dtype=torch.float64)"
34,"tensor(90.1697, dtype=torch.float64)"
35,"tensor(81.2600, dtype=torch.float64)"
36,"tensor(121.6756, dtype=torch.float64)"
37,"tensor(123.7408, dtype=torch.float64)"
38,"tensor(76.8581, dtype=torch.float64)"
39,"tensor(69.0573, dtype=torch.float64)"
40,"tensor(114.6366, dtype=torch.float64)"
41,"tensor(101.6493, dtype=torch.float64)"
42,"tensor(134.4058, dtype=torch.float64)"
43,"tensor(61.3615, dtype=torch.float64)"
44,"tensor(147.0853, dtype=torch.float64)"
45,"tensor(122.0126, dtype=torch.float64)"
46,"tensor(95.1361, dtype=torch.float64)"
47,"tensor(96.9070, dtype=torch.float64)"
48,"tensor(106.1309, dtype=torch.float64)"
49,"tensor(129.8172, dtype=torch.float64)"
50,"tensor(151.6079, dtype=torch.float64)"
51,"tensor(100.7190, dtype=torch.float64)"
52,"tensor(104.2868, dtype=torch.float64)"
53,"tensor(142.1260, dtype=torch.float64)"
54,"tensor(129.5705, dtype=torch.float64)"
55,"tensor(80.5693, dtype=torch.float64)"
56,"tensor(124.9826, dtype=torch.float64)"
57,"tensor(90.0389, dtype=torch.float64)"
58,"tensor(130.5468, dtype=torch.float64)"
59,"tensor(72.1478, dtype=torch.float64)"
60,"tensor(103.6619, dtype=torch.float64)"
61,"tensor(108.2581, dtype=torch.float64)"
62,"tensor(80.7252, dtype=torch.float64)"
63,"tensor(66.2986, dtype=torch.float64)"
64,"tensor(73.6303, dtype=torch.float64)"
65,"tensor(159.4574, dtype=torch.float64)"
66,"tensor(93.3870, dtype=torch.float64)"
67,"tensor(108.4566, dtype=torch.float64)"
68,"tensor(104.9714, dtype=torch.float64)"
69,"tensor(79.7544, dtype=torch.float64)"
70,"tensor(90.0992, dtype=torch.float64)"
71,"tensor(72.1035, dtype=torch.float64)"
72,"tensor(72.7402, dtype=torch.float64)"
73,"tensor(97.0521, dtype=torch.float64)"
74,"tensor(66.6970, dtype=torch.float64)"
75,"tensor(81.1926, dtype=torch.float64)"
76,"tensor(123.8327, dtype=torch.float64)"
77,"tensor(88.2316, dtype=torch.float64)"
78,"tensor(103.1746, dtype=torch.float64)"
79,"tensor(96.8610, dtype=torch.float64)"
80,"tensor(92.4763, dtype=torch.float64)"
81,"tensor(90.3668, dtype=torch.float64)"
82,"tensor(110.8468, dtype=torch.float64)"
83,"tensor(77.1426, dtype=torch.float64)"
84,"tensor(96.6513, dtype=torch.float64)"
85,"tensor(131.3642, dtype=torch.float64)"
86,"tensor(84.3704, dtype=torch.float64)"
87,"tensor(85.9647, dtype=torch.float64)"
88,"tensor(116.5555, dtype=torch.float64)"
89,"tensor(74.6170, dtype=torch.float64)"
90,"tensor(165.3360, dtype=torch.float64)"
91,"tensor(102.9577, dtype=torch.float64)"
92,"tensor(100.6978, dtype=torch.float64)"
93,"tensor(109.5287, dtype=torch.float64)"
94,"tensor(125.5197, dtype=torch.float64)"
95,"tensor(112.5737, dtype=torch.float64)"
96,"tensor(112.4305, dtype=torch.float64)"
97,"tensor(98.2396, dtype=torch.float64)"
98,"tensor(118.5960, dtype=torch.float64)"
99,"tensor(77.6106, dtype=torch.float64)"
100,"tensor(112.0554, dtype=torch.float64)"
101,"tensor(123.8781, dtype=torch.float64)"
102,"tensor(90.8772, dtype=torch.float64)"
103,"tensor(117.3411, dtype=torch.float64)"
104,"tensor(104.2978, dtype=torch.float64)"
105,"tensor(144.9780, dtype=torch.float64)"
106,"tensor(76.1338, dtype=torch.float64)"
107,"tensor(103.7806, dtype=torch.float64)"
108,"tensor(95.3083, dtype=torch.float64)"
109,"tensor(96.0320, dtype=torch.float64)"
110,"tensor(81.4192, dtype=torch.float64)"
111,"tensor(85.3613, dtype=torch.float64)"
112,"tensor(96.4707, dtype=torch.float64)"
113,"tensor(112.3520, dtype=torch.float64)"
114,"tensor(113.7277, dtype=torch.float64)"
115,"tensor(109.0719, dtype=torch.float64)"
116,"tensor(109.4676, dtype=torch.float64)"
117,"tensor(116.1037, dtype=torch.float64)"
118,"tensor(70.8099, dtype=torch.float64)"
119,"tensor(135.2764, dtype=torch.float64)"
120,"tensor(75.1343, dtype=torch.float64)"
121,"tensor(117.8126, dtype=torch.float64)"
122,"tensor(164.2883, dtype=torch.float64)"
123,"tensor(61.7907, dtype=torch.float64)"
124,"tensor(126.4017, dtype=torch.float64)"
125,"tensor(117.5138, dtype=torch.float64)"
126,"tensor(88.2011, dtype=torch.float64)"
127,"tensor(75.0702, dtype=torch.float64)"
128,"tensor(79.3893, dtype=torch.float64)"
129,"tensor(111.7596, dtype=torch.float64)"
130,"tensor(76.3169, dtype=torch.float64)"
131,"tensor(112.3467, dtype=torch.float64)"
132,"tensor(109.0632, dtype=torch.float64)"
133,"tensor(128.5301, dtype=torch.float64)"
134,"tensor(80.1803, dtype=torch.float64)"
135,"tensor(142.9783, dtype=torch.float64)"
136,"tensor(112.8023, dtype=torch.float64)"
137,"tensor(66.8954, dtype=torch.float64)"
138,"tensor(101.5084, dtype=torch.float64)"
139,"tensor(98.8606, dtype=torch.float64)"
140,"tensor(94.6933, dtype=torch.float64)"
141,"tensor(95.7313, dtype=torch.float64)"
142,"tensor(82.1187, dtype=torch.float64)"
143,"tensor(137.4806, dtype=torch.float64)"
144,"tensor(70.5032, dtype=torch.float64)"
145,"tensor(72.0700, dtype=torch.float64)"
146,"tensor(74.3005, dtype=torch.float64)"
147,"tensor(71.6533, dtype=torch.float64)"
148,"tensor(110.7150, dtype=torch.float64)"
149,"tensor(103.0823, dtype=torch.float64)"
150,"tensor(85.1980, dtype=torch.float64)"
151,"tensor(85.4562, dtype=torch.float64)"
152,"tensor(81.1615, dtype=torch.float64)"
153,"tensor(95.6707, dtype=torch.float64)"
154,"tensor(74.2042, dtype=torch.float64)"
155,"tensor(75.9254, dtype=torch.float64)"
156,"tensor(122.3765, dtype=torch.float64)"
157,"tensor(95.7357, dtype=torch.float64)"
158,"tensor(96.8321, dtype=torch.float64)"
159,"tensor(98.3967, dtype=torch.float64)"
160,"tensor(118.1477, dtype=torch.float64)"
161,"tensor(56.2614, dtype=torch.float64)"
162,"tensor(135.4547, dtype=torch.float64)"
163,"tensor(146.6409, dtype=torch.float64)"
164,"tensor(112.4285, dtype=torch.float64)"
165,"tensor(73.1931, dtype=torch.float64)"
166,"tensor(108.5282, dtype=torch.float64)"
167,"tensor(104.2988, dtype=torch.float64)"
168,"tensor(126.8547, dtype=torch.float64)"
169,"tensor(108.6407, dtype=torch.float64)"
170,"tensor(115.3234, dtype=torch.float64)"
171,"tensor(94.6206, dtype=torch.float64)"
172,"tensor(72.3597, dtype=torch.float64)"
173,"tensor(57.2201, dtype=torch.float64)"
174,"tensor(121.0835, dtype=torch.float64)"
175,"tensor(80.0414, dtype=torch.float64)"
176,"tensor(116.3210, dtype=torch.float64)"
177,"tensor(117.6169, dtype=torch.float64)"
178,"tensor(128.3460, dtype=torch.float64)"
179,"tensor(110.2164, dtype=torch.float64)"
180,"tensor(86.7788, dtype=torch.float64)"
181,"tensor(65.0526, dtype=torch.float64)"
182,"tensor(106.2030, dtype=torch.float64)"
183,"tensor(108.6070, dtype=torch.float64)"
184,"tensor(76.7643, dtype=torch.float64)"
185,"tensor(110.9887, dtype=torch.float64)"
186,"tensor(77.9447, dtype=torch.float64)"
187,"tensor(80.5049, dtype=torch.float64)"
188,"tensor(103.2913, dtype=torch.float64)"
189,"tensor(73.4736, dtype=torch.float64)"
190,"tensor(69.5171, dtype=torch.float64)"
191,"tensor(103.0223, dtype=torch.float64)"
192,"tensor(86.2801, dtype=torch.float64)"
193,"tensor(112.7398, dtype=torch.float64)"
194,"tensor(79.4988, dtype=torch.float64)"
195,"tensor(67.7615, dtype=torch.float64)"
196,"tensor(87.9945, dtype=torch.float64)"
197,"tensor(72.7421, dtype=torch.float64)"
198,"tensor(75.0057, dtype=torch.float64)"
199,"tensor(114.2677, dtype=torch.float64)"
200,"tensor(67.4946, dtype=torch.float64)"
201,"tensor(83.0414, dtype=torch.float64)"
202,"tensor(116.8536, dtype=torch.float64)"
203,"tensor(104.6245, dtype=torch.float64)"
204,"tensor(152.5314, dtype=torch.float64)"
205,"tensor(80.6950, dtype=torch.float64)"
206,"tensor(77.8586, dtype=torch.float64)"
207,"tensor(87.2811, dtype=torch.float64)"
208,"tensor(72.0636, dtype=torch.float64)"
209,"tensor(103.9338, dtype=torch.float64)"
210,"tensor(71.5001, dtype=torch.float64)"
211,"tensor(118.6534, dtype=torch.float64)"
212,"tensor(120.1961, dtype=torch.float64)"
213,"tensor(91.4733, dtype=torch.float64)"
214,"tensor(74.6526, dtype=torch.float64)"
215,"tensor(153.3839, dtype=torch.float64)"
216,"tensor(120.1314, dtype=torch.float64)"
217,"tensor(140.0808, dtype=torch.float64)"
218,"tensor(96.9315, dtype=torch.float64)"
219,"tensor(76.2827, dtype=torch.float64)"
220,"tensor(97.2378, dtype=torch.float64)"
221,"tensor(77.4937, dtype=torch.float64)"
222,"tensor(64.2716, dtype=torch.float64)"
223,"tensor(85.3812, dtype=torch.float64)"
224,"tensor(143.8006, dtype=torch.float64)"
225,"tensor(135.7436, dtype=torch.float64)"
226,"tensor(117.0490, dtype=torch.float64)"
227,"tensor(150.4996, dtype=torch.float64)"
228,"tensor(118.3955, dtype=torch.float64)"
229,"tensor(71.7890, dtype=torch.float64)"
230,"tensor(94.7364, dtype=torch.float64)"
231,"tensor(86.7638, dtype=torch.float64)"
232,"tensor(92.5481, dtype=torch.float64)"
233,"tensor(121.5289, dtype=torch.float64)"
234,"tensor(98.1565, dtype=torch.float64)"
235,"tensor(82.0219, dtype=torch.float64)"
236,"tensor(115.4560, dtype=torch.float64)"
237,"tensor(109.3054, dtype=torch.float64)"
