,0
0,"tensor(189.5843, dtype=torch.float64)"
1,"tensor(49.3924, dtype=torch.float64)"
2,"tensor(86.8259, dtype=torch.float64)"
3,"tensor(88.9370, dtype=torch.float64)"
4,"tensor(454.9237, dtype=torch.float64)"
5,"tensor(37.1581, dtype=torch.float64)"
6,"tensor(220.7002, dtype=torch.float64)"
7,"tensor(47.4898, dtype=torch.float64)"
8,"tensor(132.8825, dtype=torch.float64)"
9,"tensor(373.2354, dtype=torch.float64)"
10,"tensor(98.9782, dtype=torch.float64)"
11,"tensor(105.1781, dtype=torch.float64)"
12,"tensor(69.1260, dtype=torch.float64)"
13,"tensor(114.0124, dtype=torch.float64)"
14,"tensor(104.7917, dtype=torch.float64)"
15,"tensor(7.2420, dtype=torch.float64)"
16,"tensor(102.3259, dtype=torch.float64)"
17,"tensor(129.6340, dtype=torch.float64)"
18,"tensor(135.4527, dtype=torch.float64)"
19,"tensor(66.8886, dtype=torch.float64)"
20,"tensor(261.9549, dtype=torch.float64)"
21,"tensor(126.4479, dtype=torch.float64)"
22,"tensor(5.6457, dtype=torch.float64)"
23,"tensor(71.5615, dtype=torch.float64)"
24,"tensor(57.2387, dtype=torch.float64)"
25,"tensor(388.1183, dtype=torch.float64)"
26,"tensor(128.3332, dtype=torch.float64)"
27,"tensor(192.6485, dtype=torch.float64)"
28,"tensor(154.8453, dtype=torch.float64)"
29,"tensor(13.3127, dtype=torch.float64)"
30,"tensor(101.4807, dtype=torch.float64)"
31,"tensor(208.6040, dtype=torch.float64)"
32,"tensor(67.7707, dtype=torch.float64)"
33,"tensor(97.2996, dtype=torch.float64)"
34,"tensor(27.5844, dtype=torch.float64)"
35,"tensor(93.0065, dtype=torch.float64)"
36,"tensor(152.5645, dtype=torch.float64)"
37,"tensor(126.4229, dtype=torch.float64)"
38,"tensor(25.3139, dtype=torch.float64)"
39,"tensor(103.7398, dtype=torch.float64)"
40,"tensor(75.2059, dtype=torch.float64)"
41,"tensor(141.3380, dtype=torch.float64)"
42,"tensor(112.6474, dtype=torch.float64)"
43,"tensor(137.6509, dtype=torch.float64)"
44,"tensor(10.2624, dtype=torch.float64)"
45,"tensor(88.2102, dtype=torch.float64)"
46,"tensor(163.7990, dtype=torch.float64)"
47,"tensor(6.8903, dtype=torch.float64)"
48,"tensor(209.4178, dtype=torch.float64)"
49,"tensor(116.2569, dtype=torch.float64)"
50,"tensor(545.5718, dtype=torch.float64)"
51,"tensor(120.9024, dtype=torch.float64)"
52,"tensor(9.1756, dtype=torch.float64)"
53,"tensor(162.0248, dtype=torch.float64)"
54,"tensor(150.3958, dtype=torch.float64)"
55,"tensor(21.2525, dtype=torch.float64)"
56,"tensor(122.3362, dtype=torch.float64)"
57,"tensor(83.4084, dtype=torch.float64)"
58,"tensor(9.7329, dtype=torch.float64)"
59,"tensor(93.4095, dtype=torch.float64)"
60,"tensor(104.7601, dtype=torch.float64)"
61,"tensor(371.5864, dtype=torch.float64)"
62,"tensor(91.8667, dtype=torch.float64)"
63,"tensor(482.0160, dtype=torch.float64)"
64,"tensor(423.7302, dtype=torch.float64)"
65,"tensor(58.9580, dtype=torch.float64)"
66,"tensor(132.8095, dtype=torch.float64)"
67,"tensor(21.1888, dtype=torch.float64)"
68,"tensor(11.7779, dtype=torch.float64)"
69,"tensor(331.0717, dtype=torch.float64)"
70,"tensor(38.9729, dtype=torch.float64)"
71,"tensor(673.9979, dtype=torch.float64)"
72,"tensor(154.5896, dtype=torch.float64)"
73,"tensor(60.0951, dtype=torch.float64)"
74,"tensor(519.9170, dtype=torch.float64)"
75,"tensor(249.9948, dtype=torch.float64)"
76,"tensor(32.2246, dtype=torch.float64)"
77,"tensor(157.3663, dtype=torch.float64)"
78,"tensor(109.1987, dtype=torch.float64)"
79,"tensor(47.2987, dtype=torch.float64)"
80,"tensor(59.4324, dtype=torch.float64)"
81,"tensor(169.2955, dtype=torch.float64)"
82,"tensor(24.7938, dtype=torch.float64)"
83,"tensor(119.1481, dtype=torch.float64)"
84,"tensor(398.1226, dtype=torch.float64)"
85,"tensor(117.5193, dtype=torch.float64)"
86,"tensor(65.3098, dtype=torch.float64)"
87,"tensor(723.0969, dtype=torch.float64)"
88,"tensor(41.2038, dtype=torch.float64)"
89,"tensor(58.4566, dtype=torch.float64)"
90,"tensor(91.9262, dtype=torch.float64)"
91,"tensor(68.3654, dtype=torch.float64)"
92,"tensor(175.8700, dtype=torch.float64)"
93,"tensor(64.4667, dtype=torch.float64)"
94,"tensor(178.9100, dtype=torch.float64)"
95,"tensor(91.6350, dtype=torch.float64)"
96,"tensor(628.1890, dtype=torch.float64)"
97,"tensor(193.9889, dtype=torch.float64)"
98,"tensor(83.7641, dtype=torch.float64)"
99,"tensor(116.3274, dtype=torch.float64)"
100,"tensor(628.1677, dtype=torch.float64)"
101,"tensor(27.8777, dtype=torch.float64)"
102,"tensor(723.0969, dtype=torch.float64)"
103,"tensor(68.2126, dtype=torch.float64)"
104,"tensor(128.9128, dtype=torch.float64)"
105,"tensor(197.8187, dtype=torch.float64)"
106,"tensor(42.4749, dtype=torch.float64)"
107,"tensor(73.9259, dtype=torch.float64)"
108,"tensor(75.7955, dtype=torch.float64)"
109,"tensor(320.4363, dtype=torch.float64)"
110,"tensor(146.4460, dtype=torch.float64)"
111,"tensor(216.9299, dtype=torch.float64)"
112,"tensor(124.4074, dtype=torch.float64)"
113,"tensor(13.2207, dtype=torch.float64)"
114,"tensor(123.9357, dtype=torch.float64)"
115,"tensor(138.4877, dtype=torch.float64)"
116,"tensor(92.1489, dtype=torch.float64)"
117,"tensor(77.1241, dtype=torch.float64)"
118,"tensor(54.1130, dtype=torch.float64)"
119,"tensor(42.2996, dtype=torch.float64)"
120,"tensor(272.1696, dtype=torch.float64)"
121,"tensor(81.8526, dtype=torch.float64)"
122,"tensor(6.5285, dtype=torch.float64)"
123,"tensor(21.3606, dtype=torch.float64)"
124,"tensor(126.7240, dtype=torch.float64)"
125,"tensor(77.7138, dtype=torch.float64)"
126,"tensor(184.8153, dtype=torch.float64)"
127,"tensor(131.7276, dtype=torch.float64)"
128,"tensor(476.8007, dtype=torch.float64)"
129,"tensor(56.8725, dtype=torch.float64)"
130,"tensor(60.7178, dtype=torch.float64)"
131,"tensor(517.3931, dtype=torch.float64)"
132,"tensor(42.3345, dtype=torch.float64)"
133,"tensor(5.2496, dtype=torch.float64)"
134,"tensor(21.8237, dtype=torch.float64)"
135,"tensor(124.1405, dtype=torch.float64)"
136,"tensor(19.2475, dtype=torch.float64)"
137,"tensor(77.5291, dtype=torch.float64)"
138,"tensor(78.4031, dtype=torch.float64)"
139,"tensor(43.6971, dtype=torch.float64)"
140,"tensor(122.2530, dtype=torch.float64)"
141,"tensor(628.1664, dtype=torch.float64)"
142,"tensor(172.7166, dtype=torch.float64)"
143,"tensor(134.7673, dtype=torch.float64)"
144,"tensor(88.8117, dtype=torch.float64)"
145,"tensor(87.7574, dtype=torch.float64)"
146,"tensor(106.2984, dtype=torch.float64)"
147,"tensor(76.6436, dtype=torch.float64)"
148,"tensor(11.0203, dtype=torch.float64)"
149,"tensor(96.1035, dtype=torch.float64)"
150,"tensor(112.6021, dtype=torch.float64)"
151,"tensor(21.7103, dtype=torch.float64)"
152,"tensor(282.7959, dtype=torch.float64)"
153,"tensor(130.6598, dtype=torch.float64)"
154,"tensor(67.7186, dtype=torch.float64)"
155,"tensor(124.5743, dtype=torch.float64)"
156,"tensor(103.2175, dtype=torch.float64)"
157,"tensor(208.0498, dtype=torch.float64)"
158,"tensor(133.2818, dtype=torch.float64)"
159,"tensor(68.4798, dtype=torch.float64)"
160,"tensor(43.5860, dtype=torch.float64)"
161,"tensor(126.3077, dtype=torch.float64)"
162,"tensor(137.4703, dtype=torch.float64)"
163,"tensor(71.5089, dtype=torch.float64)"
164,"tensor(88.9520, dtype=torch.float64)"
165,"tensor(32.7082, dtype=torch.float64)"
166,"tensor(94.8543, dtype=torch.float64)"
167,"tensor(5.8780, dtype=torch.float64)"
168,"tensor(103.9073, dtype=torch.float64)"
169,"tensor(585.4647, dtype=torch.float64)"
170,"tensor(108.7882, dtype=torch.float64)"
171,"tensor(29.7600, dtype=torch.float64)"
172,"tensor(42.9818, dtype=torch.float64)"
173,"tensor(108.5357, dtype=torch.float64)"
174,"tensor(98.8715, dtype=torch.float64)"
175,"tensor(96.1306, dtype=torch.float64)"
176,"tensor(111.4102, dtype=torch.float64)"
177,"tensor(45.6270, dtype=torch.float64)"
178,"tensor(105.8337, dtype=torch.float64)"
179,"tensor(90.6225, dtype=torch.float64)"
180,"tensor(111.9761, dtype=torch.float64)"
181,"tensor(159.4470, dtype=torch.float64)"
182,"tensor(105.4069, dtype=torch.float64)"
183,"tensor(52.3629, dtype=torch.float64)"
184,"tensor(62.1933, dtype=torch.float64)"
185,"tensor(233.6839, dtype=torch.float64)"
186,"tensor(163.6890, dtype=torch.float64)"
187,"tensor(101.9659, dtype=torch.float64)"
188,"tensor(83.2080, dtype=torch.float64)"
189,"tensor(674.0006, dtype=torch.float64)"
190,"tensor(112.5273, dtype=torch.float64)"
191,"tensor(73.3473, dtype=torch.float64)"
192,"tensor(218.9361, dtype=torch.float64)"
193,"tensor(38.3629, dtype=torch.float64)"
194,"tensor(101.1378, dtype=torch.float64)"
195,"tensor(155.7820, dtype=torch.float64)"
196,"tensor(673.9980, dtype=torch.float64)"
197,"tensor(130.0440, dtype=torch.float64)"
198,"tensor(102.0229, dtype=torch.float64)"
199,"tensor(61.3117, dtype=torch.float64)"
200,"tensor(21.2710, dtype=torch.float64)"
201,"tensor(143.6008, dtype=torch.float64)"
202,"tensor(113.0933, dtype=torch.float64)"
203,"tensor(369.6204, dtype=torch.float64)"
204,"tensor(332.8693, dtype=torch.float64)"
205,"tensor(87.0435, dtype=torch.float64)"
206,"tensor(83.8033, dtype=torch.float64)"
207,"tensor(125.2160, dtype=torch.float64)"
208,"tensor(7.5087, dtype=torch.float64)"
209,"tensor(132.1526, dtype=torch.float64)"
210,"tensor(276.0587, dtype=torch.float64)"
211,"tensor(156.7148, dtype=torch.float64)"
212,"tensor(117.4919, dtype=torch.float64)"
213,"tensor(150.4051, dtype=torch.float64)"
214,"tensor(153.7289, dtype=torch.float64)"
215,"tensor(373.4433, dtype=torch.float64)"
216,"tensor(19.9892, dtype=torch.float64)"
217,"tensor(25.8473, dtype=torch.float64)"
218,"tensor(70.5821, dtype=torch.float64)"
219,"tensor(62.3655, dtype=torch.float64)"
220,"tensor(40.0506, dtype=torch.float64)"
221,"tensor(267.8315, dtype=torch.float64)"
222,"tensor(5.8588, dtype=torch.float64)"
223,"tensor(38.0932, dtype=torch.float64)"
224,"tensor(48.7628, dtype=torch.float64)"
225,"tensor(144.4184, dtype=torch.float64)"
226,"tensor(57.9157, dtype=torch.float64)"
227,"tensor(87.0259, dtype=torch.float64)"
228,"tensor(23.4370, dtype=torch.float64)"
229,"tensor(98.1095, dtype=torch.float64)"
230,"tensor(147.1939, dtype=torch.float64)"
231,"tensor(131.5767, dtype=torch.float64)"
232,"tensor(123.3796, dtype=torch.float64)"
233,"tensor(104.2339, dtype=torch.float64)"
234,"tensor(479.5937, dtype=torch.float64)"
235,"tensor(84.8971, dtype=torch.float64)"
236,"tensor(479.5925, dtype=torch.float64)"
237,"tensor(96.3129, dtype=torch.float64)"
238,"tensor(59.7586, dtype=torch.float64)"
239,"tensor(552.6428, dtype=torch.float64)"
240,"tensor(117.4171, dtype=torch.float64)"
241,"tensor(25.1509, dtype=torch.float64)"
242,"tensor(232.6147, dtype=torch.float64)"
243,"tensor(6.0920, dtype=torch.float64)"
244,"tensor(129.7079, dtype=torch.float64)"
245,"tensor(86.9921, dtype=torch.float64)"
246,"tensor(116.0461, dtype=torch.float64)"
247,"tensor(22.0199, dtype=torch.float64)"
248,"tensor(74.9597, dtype=torch.float64)"
249,"tensor(551.7720, dtype=torch.float64)"
250,"tensor(62.7873, dtype=torch.float64)"
251,"tensor(674.0032, dtype=torch.float64)"
252,"tensor(51.4220, dtype=torch.float64)"
253,"tensor(9.4363, dtype=torch.float64)"
254,"tensor(115.0657, dtype=torch.float64)"
255,"tensor(395.4750, dtype=torch.float64)"
256,"tensor(7.6447, dtype=torch.float64)"
257,"tensor(18.7233, dtype=torch.float64)"
258,"tensor(8.5521, dtype=torch.float64)"
259,"tensor(61.0498, dtype=torch.float64)"
260,"tensor(288.8586, dtype=torch.float64)"
261,"tensor(104.4027, dtype=torch.float64)"
262,"tensor(318.9952, dtype=torch.float64)"
263,"tensor(301.9101, dtype=torch.float64)"
264,"tensor(109.2764, dtype=torch.float64)"
265,"tensor(517.6313, dtype=torch.float64)"
266,"tensor(43.1426, dtype=torch.float64)"
267,"tensor(142.0618, dtype=torch.float64)"
268,"tensor(66.4395, dtype=torch.float64)"
269,"tensor(50.9819, dtype=torch.float64)"
270,"tensor(37.2813, dtype=torch.float64)"
271,"tensor(674.0175, dtype=torch.float64)"
272,"tensor(98.4199, dtype=torch.float64)"
273,"tensor(585.5994, dtype=torch.float64)"
274,"tensor(123.0006, dtype=torch.float64)"
275,"tensor(48.4484, dtype=torch.float64)"
276,"tensor(171.5734, dtype=torch.float64)"
277,"tensor(6.0916, dtype=torch.float64)"
278,"tensor(61.8510, dtype=torch.float64)"
279,"tensor(82.7134, dtype=torch.float64)"
280,"tensor(47.5236, dtype=torch.float64)"
281,"tensor(98.7166, dtype=torch.float64)"
282,"tensor(22.3551, dtype=torch.float64)"
283,"tensor(155.1599, dtype=torch.float64)"
284,"tensor(86.2432, dtype=torch.float64)"
285,"tensor(76.1807, dtype=torch.float64)"
286,"tensor(88.1687, dtype=torch.float64)"
287,"tensor(58.5589, dtype=torch.float64)"
288,"tensor(96.8739, dtype=torch.float64)"
289,"tensor(51.5892, dtype=torch.float64)"
290,"tensor(46.1729, dtype=torch.float64)"
291,"tensor(76.5722, dtype=torch.float64)"
292,"tensor(30.3423, dtype=torch.float64)"
293,"tensor(105.0324, dtype=torch.float64)"
294,"tensor(206.8886, dtype=torch.float64)"
295,"tensor(100.7167, dtype=torch.float64)"
296,"tensor(151.1898, dtype=torch.float64)"
297,"tensor(73.4276, dtype=torch.float64)"
298,"tensor(8.1994, dtype=torch.float64)"
299,"tensor(32.6775, dtype=torch.float64)"
300,"tensor(33.5037, dtype=torch.float64)"
301,"tensor(124.5469, dtype=torch.float64)"
302,"tensor(181.5110, dtype=torch.float64)"
303,"tensor(249.6153, dtype=torch.float64)"
304,"tensor(140.8642, dtype=torch.float64)"
305,"tensor(92.1587, dtype=torch.float64)"
306,"tensor(110.6986, dtype=torch.float64)"
307,"tensor(119.7501, dtype=torch.float64)"
308,"tensor(723.0969, dtype=torch.float64)"
309,"tensor(92.4427, dtype=torch.float64)"
310,"tensor(673.9978, dtype=torch.float64)"
311,"tensor(139.0505, dtype=torch.float64)"
312,"tensor(585.5978, dtype=torch.float64)"
313,"tensor(89.3573, dtype=torch.float64)"
314,"tensor(43.6638, dtype=torch.float64)"
315,"tensor(102.7897, dtype=torch.float64)"
316,"tensor(27.8196, dtype=torch.float64)"
317,"tensor(114.0977, dtype=torch.float64)"
318,"tensor(88.7523, dtype=torch.float64)"
319,"tensor(312.5661, dtype=torch.float64)"
320,"tensor(52.4700, dtype=torch.float64)"
321,"tensor(45.6230, dtype=torch.float64)"
322,"tensor(120.8047, dtype=torch.float64)"
323,"tensor(110.7625, dtype=torch.float64)"
324,"tensor(156.4028, dtype=torch.float64)"
325,"tensor(101.4388, dtype=torch.float64)"
326,"tensor(120.4978, dtype=torch.float64)"
327,"tensor(153.4404, dtype=torch.float64)"
328,"tensor(7.3149, dtype=torch.float64)"
329,"tensor(13.8783, dtype=torch.float64)"
330,"tensor(74.0459, dtype=torch.float64)"
331,"tensor(171.5217, dtype=torch.float64)"
332,"tensor(64.1121, dtype=torch.float64)"
333,"tensor(68.9087, dtype=torch.float64)"
334,"tensor(153.1146, dtype=torch.float64)"
335,"tensor(125.6660, dtype=torch.float64)"
336,"tensor(142.0797, dtype=torch.float64)"
337,"tensor(72.2287, dtype=torch.float64)"
338,"tensor(67.5397, dtype=torch.float64)"
339,"tensor(123.5490, dtype=torch.float64)"
340,"tensor(116.6787, dtype=torch.float64)"
341,"tensor(196.3204, dtype=torch.float64)"
342,"tensor(102.1813, dtype=torch.float64)"
343,"tensor(194.3889, dtype=torch.float64)"
344,"tensor(176.2176, dtype=torch.float64)"
345,"tensor(178.0758, dtype=torch.float64)"
346,"tensor(88.7652, dtype=torch.float64)"
347,"tensor(9.6803, dtype=torch.float64)"
348,"tensor(71.5907, dtype=torch.float64)"
349,"tensor(7.5489, dtype=torch.float64)"
350,"tensor(101.2558, dtype=torch.float64)"
351,"tensor(153.3551, dtype=torch.float64)"
352,"tensor(90.1170, dtype=torch.float64)"
353,"tensor(104.7666, dtype=torch.float64)"
354,"tensor(115.3011, dtype=torch.float64)"
355,"tensor(75.5476, dtype=torch.float64)"
356,"tensor(241.3857, dtype=torch.float64)"
357,"tensor(75.4486, dtype=torch.float64)"
358,"tensor(174.8281, dtype=torch.float64)"
359,"tensor(449.5447, dtype=torch.float64)"
360,"tensor(5.6681, dtype=torch.float64)"
361,"tensor(117.9087, dtype=torch.float64)"
362,"tensor(103.8689, dtype=torch.float64)"
363,"tensor(6.7067, dtype=torch.float64)"
364,"tensor(189.0703, dtype=torch.float64)"
365,"tensor(206.0820, dtype=torch.float64)"
366,"tensor(11.2884, dtype=torch.float64)"
367,"tensor(484.1550, dtype=torch.float64)"
368,"tensor(213.3888, dtype=torch.float64)"
369,"tensor(109.4320, dtype=torch.float64)"
370,"tensor(5., dtype=torch.float64)"
371,"tensor(273.6672, dtype=torch.float64)"
372,"tensor(60.6814, dtype=torch.float64)"
373,"tensor(236.3077, dtype=torch.float64)"
374,"tensor(156.2007, dtype=torch.float64)"
375,"tensor(18.4198, dtype=torch.float64)"
376,"tensor(7.6569, dtype=torch.float64)"
377,"tensor(42.5598, dtype=torch.float64)"
378,"tensor(51.3466, dtype=torch.float64)"
379,"tensor(138.8521, dtype=torch.float64)"
380,"tensor(5.8908, dtype=torch.float64)"
381,"tensor(282.1209, dtype=torch.float64)"
382,"tensor(308.6915, dtype=torch.float64)"
383,"tensor(548.8811, dtype=torch.float64)"
384,"tensor(155.5459, dtype=torch.float64)"
385,"tensor(87.0329, dtype=torch.float64)"
386,"tensor(673.9988, dtype=torch.float64)"
387,"tensor(141.4991, dtype=torch.float64)"
388,"tensor(272.1334, dtype=torch.float64)"
389,"tensor(198.2916, dtype=torch.float64)"
390,"tensor(144.5260, dtype=torch.float64)"
391,"tensor(113.9228, dtype=torch.float64)"
392,"tensor(88.8494, dtype=torch.float64)"
393,"tensor(36.1277, dtype=torch.float64)"
